date,open,high,low,close,adj close,volume,Name
02-01-2017,411.5,417,411.149994,414.25,369.764587,842486,HCLTECH
03-01-2017,415.5,418.5,411.75,417.575012,372.732452,1437066,HCLTECH
04-01-2017,417.774994,430,416.524994,428.475006,382.461975,4233756,HCLTECH
05-01-2017,430,434.875,420.049988,422.325012,376.972382,4157614,HCLTECH
06-01-2017,417.5,420.149994,403.375,407.200012,363.471619,5591598,HCLTECH
09-01-2017,403.25,420.075012,402.975006,419.149994,374.138275,3839588,HCLTECH
10-01-2017,421.350006,422,417.25,418.924988,373.937469,2613934,HCLTECH
11-01-2017,419.75,422.25,413.375,416.625,371.884491,2766112,HCLTECH
12-01-2017,415.024994,424.950012,415.024994,423.850006,378.333588,3290556,HCLTECH
13-01-2017,425.100006,428.975006,419.299988,425.125,379.471741,4573998,HCLTECH
16-01-2017,423.950012,423.950012,413.399994,415.274994,370.679443,2429338,HCLTECH
17-01-2017,413.5,421.75,413.5,418.875,373.892883,4099262,HCLTECH
18-01-2017,418.75,422.774994,418.125,422.024994,376.704651,2168782,HCLTECH
19-01-2017,422,425.725006,418.799988,422.075012,376.749298,2112076,HCLTECH
20-01-2017,420,422.5,416.850006,419.375,374.339233,2219790,HCLTECH
23-01-2017,417,430.25,414,428.649994,382.618103,3969016,HCLTECH
24-01-2017,421,427,413.450012,424.399994,378.824524,7390624,HCLTECH
25-01-2017,426.5,428.649994,418.774994,420.625,375.454956,3855738,HCLTECH
27-01-2017,422,424.950012,420.325012,422.100006,376.771484,2699128,HCLTECH
30-01-2017,415.549988,421.200012,414.049988,420.125,375.008667,1899068,HCLTECH
31-01-2017,417.625,418.649994,393.549988,405.575012,362.021118,9645094,HCLTECH
01-02-2017,402.5,409.75,389.325012,406.975006,365.977905,9033230,HCLTECH
02-02-2017,407,417.049988,405.075012,413.575012,371.912994,3760086,HCLTECH
03-02-2017,412.5,417.850006,408.424988,415.375,373.531708,2257058,HCLTECH
06-02-2017,417.5,418.25,408.299988,412.049988,370.541595,2185076,HCLTECH
07-02-2017,412,413.850006,406,407.850006,366.76474,2605080,HCLTECH
08-02-2017,409.5,409.524994,402.375,404.25,363.527435,2824810,HCLTECH
09-02-2017,405.475006,411.149994,401.024994,409.850006,368.563171,3130268,HCLTECH
10-02-2017,411.049988,415,406.149994,414.200012,372.475067,3550994,HCLTECH
13-02-2017,415.5,416.825012,410.5,413.649994,371.980469,1209256,HCLTECH
14-02-2017,414.600006,417.225006,412.25,416,374.09375,2246504,HCLTECH
15-02-2017,416,419.299988,411.299988,415.149994,373.329346,1995766,HCLTECH
16-02-2017,413.625,423.450012,413.625,422.5,379.938934,3441322,HCLTECH
17-02-2017,425,425,415.549988,419.625,377.353577,2079702,HCLTECH
20-02-2017,421,423.5,418.625,422,379.489258,1331008,HCLTECH
21-02-2017,422.049988,431.25,422.049988,425.649994,382.771576,3074096,HCLTECH
22-02-2017,426.149994,432.5,415.274994,417.100006,375.082916,3487340,HCLTECH
23-02-2017,417.5,425.5,417.5,421.424988,378.972198,6776184,HCLTECH
27-02-2017,422.450012,425.674988,418.024994,419.975006,377.668274,2385238,HCLTECH
28-02-2017,422,423,417.924988,420.049988,377.735779,2286110,HCLTECH
01-03-2017,421.5,425.5,419.774994,424.549988,381.78241,2193694,HCLTECH
02-03-2017,425,426.75,419.649994,421.875,379.376862,1735692,HCLTECH
03-03-2017,422,427.399994,417.575012,426.450012,383.491089,1712464,HCLTECH
06-03-2017,425.350006,433.850006,423.049988,427.774994,384.682556,3084616,HCLTECH
07-03-2017,430.850006,430.850006,426.100006,428.674988,385.491882,1494044,HCLTECH
08-03-2017,428.5,429,422.125,423.850006,381.153015,1458528,HCLTECH
09-03-2017,427,427,421.174988,422.174988,379.646759,1533834,HCLTECH
10-03-2017,424.674988,429,420.450012,423.174988,380.545929,1412616,HCLTECH
14-03-2017,432.5,432.5,425,426.799988,383.805756,3171728,HCLTECH
15-03-2017,425.25,427.950012,418.625,421.450012,378.99472,2478532,HCLTECH
16-03-2017,430.399994,431.950012,424.799988,427.700012,384.615082,3690466,HCLTECH
17-03-2017,428.625,435.5,426.5,432.875,389.26886,3987020,HCLTECH
20-03-2017,435.975006,439.5,430.575012,432.174988,388.639282,3392968,HCLTECH
21-03-2017,432.5,437.200012,425.975006,429.649994,386.368652,7366514,HCLTECH
22-03-2017,425.350006,437.350006,424.25,436.375,392.416229,3364236,HCLTECH
23-03-2017,435.524994,440,434.475006,438.325012,394.1698,2848278,HCLTECH
24-03-2017,436.149994,438.25,435.575012,436.524994,392.551147,1751020,HCLTECH
27-03-2017,434,436.600006,423.524994,426.075012,383.153839,2353860,HCLTECH
28-03-2017,427.774994,435.375,426.075012,429.950012,386.638489,1796222,HCLTECH
29-03-2017,432.700012,439.75,429.799988,438.799988,394.596924,4242538,HCLTECH
30-03-2017,435,440.850006,432.524994,437.924988,393.810028,2927478,HCLTECH
31-03-2017,442,445.075012,433.5,437.375,393.315552,4314580,HCLTECH
03-04-2017,437.049988,439.125,429.25,433.125,389.493652,1874754,HCLTECH
05-04-2017,434.5,434.5,423.200012,425.25,382.411926,3578706,HCLTECH
06-04-2017,424,428.274994,423.5,426.75,383.760803,2089810,HCLTECH
07-04-2017,426.950012,429.299988,423.450012,424.649994,381.872406,2059774,HCLTECH
10-04-2017,424.5,428.75,415.5,416.524994,374.565826,1485086,HCLTECH
11-04-2017,417.5,419,413,416.899994,374.903076,2620546,HCLTECH
12-04-2017,415.674988,417.475006,413.5,415.825012,373.936279,1311888,HCLTECH
13-04-2017,416.25,416.25,402.700012,404.549988,363.79718,2293364,HCLTECH
17-04-2017,400.075012,408.75,400.075012,405.399994,364.561615,1404094,HCLTECH
18-04-2017,406,409.975006,402,404.024994,363.325012,2028564,HCLTECH
19-04-2017,403.25,409.774994,401.975006,404.299988,363.572327,2636200,HCLTECH
20-04-2017,405.375,407.950012,404.299988,407.450012,366.405121,1079608,HCLTECH
21-04-2017,408.5,410.725006,403.899994,406.375,365.438354,1780310,HCLTECH
24-04-2017,406.5,412,404.625,409.774994,368.49585,1373968,HCLTECH
25-04-2017,412,412.924988,406.799988,409.975006,368.675751,2194602,HCLTECH
26-04-2017,410.950012,411,398.274994,400.125,359.817993,1918248,HCLTECH
27-04-2017,398.5,410,398.100006,404.850006,364.066956,5640334,HCLTECH
28-04-2017,406.450012,410,399.875,407.049988,366.045319,2794138,HCLTECH
02-05-2017,408.075012,412.725006,405.850006,411.024994,369.619873,1722732,HCLTECH
03-05-2017,412.475006,418.75,410.5,417.549988,375.487579,1989864,HCLTECH
04-05-2017,418.049988,421.299988,404.075012,409,367.79892,2758496,HCLTECH
05-05-2017,410.475006,416,407.149994,414.799988,373.014618,1856816,HCLTECH
08-05-2017,414.924988,422.5,412.850006,420.100006,377.780731,1581634,HCLTECH
09-05-2017,422.5,427.424988,419.975006,424.875,382.074768,1814522,HCLTECH
10-05-2017,424.375,425.450012,419.049988,421.799988,379.309448,1515412,HCLTECH
11-05-2017,428.899994,429.399994,417.799988,419.350006,377.106262,7029834,HCLTECH
12-05-2017,420,424.100006,419.524994,423.825012,381.130432,3295402,HCLTECH
15-05-2017,424.25,425,422.5,424.274994,381.535156,1375146,HCLTECH
16-05-2017,425,428.049988,424.024994,424.799988,382.007294,5948804,HCLTECH
17-05-2017,426,427.649994,421.100006,426.774994,383.783325,2747118,HCLTECH
